countryName,countryCode,indicatorName,indicatorCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Arab Emirates,ARE,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,,,,,,,,,99.32670422867787,99.77148440061374,99.9995948464468,99.76768325836588,99.02406001091003,99.76725817088695,
United Arab Emirates,ARE,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,,,,,,,,,97.22184991836548,99.12440935372352,,98.9674984903812,99.8839699998498,99.95856999978423,99.81248000264168
United Arab Emirates,ARE,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,,,,,,99.32036000490189,99.08401603625589,,97.76404390276883,99.61197000741959,99.86913999915123,99.85420000553131
United Arab Emirates,ARE,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,,,,,,,,,18.23662714844858,18.59928413158343,16.70226374866746,16.41135628685562,16.07769996092458,14.83322635857938,
United Arab Emirates,ARE,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3,missing
United Arab Emirates,ARE,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,,,,,,,,,10.9315299987793,10.46852102914071,10.5058158552382,9.666217392860124,8.601149559020996,8.869699250445917,
United Arab Emirates,ARE,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,,,,,,,,,0.91313244200475,0.2103914660885418,0.1200996502503429,0.2952465916840594,0.0034098408005504,0.1760640957604762,0.0038698924709
United Arab Emirates,ARE,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,,,,,,,,,1.708109974861145,0.8961764814746271,0.6545075538236478,1.644557537226374,0.2542499899864197,0.0868623282995634,0.1662800014019012
United Arab Emirates,ARE,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3,2T3
Argentina,ARG,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,99.82883498389558,99.99053249639705,99.97913398959312,99.93063236962331,99.79867601194496,99.68361950082902,99.48579588967408,99.41827351795675,99.3598497207652,99.38001085988274,99.16845426450196,99.20595508295595,99.25256399386657,99.26537787203927,
Argentina,ARG,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,87.30525640435467,88.33673210754634,89.64124842738929,90.49308549542555,90.91772254800264,91.51739456673101,92.43771686583517,92.675122344717,93.39451081101701,94.3263075262414,95.66744218725005,97.16968555343618,96.66906948357759,96.38718973882828,
Argentina,ARG,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,94.77228021621704,95.45357990264893,96.0502998828888,96.14254999160767,96.16686010360718,96.94809007644653,97.81856989860535,97.58055996894836,97.559730052948,98.10977005958557,99.28605997562408,,99.76974999904633,,
Argentina,ARG,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,86.21084976196289,86.48418998718262,88.0728702545166,89.00699043273926,89.61110973358154,90.7961196899414,92.03295993804932,91.8003396987915,91.95934009552002,92.85163021087646,93.86138010025024,,94.81621980667114,,
Argentina,ARG,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Argentina,ARG,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,0.1711650161044304,0.0094675036029475,0.0208660104068756,0.0693676303766887,0.2013239880550312,0.3163804991709738,0.514204110325914,0.5817264820432498,0.6401502792348013,0.619989140117256,0.8315457354980411,0.7940449170440442,0.7474360061334232,0.7346221279607272,
Argentina,ARG,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,12.69474359564534,11.66326789245366,10.35875157261072,9.506914504574448,9.082277451997363,8.482605433268992,7.562283134164822,7.324877655283,6.605489188982992,5.673692473758607,4.332557812749952,2.830314446563818,3.330930516422406,3.612810261171711,
Argentina,ARG,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,2T3,missing
Armenia,ARM,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,,95.01766014099121,94.62849998474121,94.06162977218628,91.74787998199463,92.97407007217407,92.57902888998979,92.8578859440307,92.51165081195349,91.5945685773906,91.1258460782139,92.79839018548127,94.64003484537365,96.4907764369043,98.91585459050663
Armenia,ARM,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,95.94726991653442,93.41733980178833,,,,,,,,89.97713300354319,92.11430570795274,94.04924154541712,94.33053268262134,92.20492797022196,93.78266218978226
